CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.03.04;Custo de captação;-30599.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.03.04;Custo de captação;-4018.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.03.05;Adiantamento para Futuro aumento de Capital;20.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.03.05;Adiantamento para Futuro aumento de Capital;0.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.03.06;Pagamento de Financiamento;-4261.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.03.06;Pagamento de Financiamento;-14721.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.03.07;Aumento de Capital;86469.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.03.07;Aumento de Capital;0.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.03.08;Pagamento de Arrendamento;0.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.03.08;Pagamento de Arrendamento;-180.0000000000;N
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;8455.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-6963.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;1987.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;10442.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;10442.0000000000;S
38.482.780/0001-26;2024-12-31;2;ANEMUS WIND HOLDING S.A.;026832;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.05.02;Saldo Final de Caixa e Equivalentes;3479.0000000000;S
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01;Caixa Líquido Atividades Operacionais;-62764.0000000000;S
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01;Caixa Líquido Atividades Operacionais;-27566.0000000000;S
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.01;Prejuízo do Período;-180278.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.01;Prejuízo do Período;-166183.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.02;Depreciação e Amortização;36861.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.02;Depreciação e Amortização;38686.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.03;Amortização do Direito de Uso;153.0000000000;N
